0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	13	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	10	4	38	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	4	23	67	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	35	5	48	12	51	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	24	14	2	38	21	10	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98	2	5	21	45	56	75	19	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	16	11	36	86	1	45	75	10	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	31	24	6	21	41	10	5	34	56	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	11	1	67	82	10	31	34	10	51	69	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	5	43	12	34	10	66	56	45	6	78	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	72	4	5	39	2	16	20	21	45	11	34	21	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	17	25	12	26	5	17	21	21	11	14	32	16	91	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	21	4	25	92	72	10	14	33	55	11	54	12	52	34	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	24	99	11	31	78	62	43	33	25	10	77	82	11	15	55	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	2	16	24	11	25	19	2	81	78	41	56	45	52	61	33	21	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	94	13	62	31	26	10	10	86	25	57	32	91	23	67	72	72	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	1	2	61	45	24	21	6	19	12	45	34	63	10	12	72	82	11	55	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1	16	53	22	42	13	15	67	14	31	25	47	16	87	35	9	24	13	25	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	21	22	2	76	10	15	5	31	43	66	14	2	45	24	21	57	10	5	71	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	91	2	34	5	63	12	61	5	45	6	5	91	12	61	2	6	35	11	21	24	82	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	31	81	34	56	23	33	62	24	5	73	10	15	2	52	11	45	40	11	13	27	24	52	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	32	23	52	45	84	21	35	45	21	35	1	25	26	98	76	13	67	5	11	81	14	25	62	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	21	23	56	2	27	78	34	5	10	82	32	67	43	25	98	5	23	12	92	34	4	14	25	42	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	35	33	21	81	21	91	73	92	10	23	26	25	64	5	24	31	15	91	16	78	15	1	35	98	11	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	51	91	2	44	67	25	5	21	41	32	11	51	34	61	72	19	35	29	5	15	93	63	31	10	78	38	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	10	56	5	2	21	1	35	15	15	2	48	65	55	32	76	21	97	10	34	34	62	21	67	1	52	86	21	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	15	32	56	31	21	13	25	34	2	10	31	95	65	79	10	76	56	10	13	71	5	87	84	35	19	10	21	52	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	51	6	45	11	55	25	78	25	34	34	34	52	56	21	2	5	56	45	43	45	5	2	10	10	34	13	56	51	34	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	12	21	27	57	24	10	82	32	34	43	25	98	5	26	24	13	10	23	23	24	14	21	10	21	51	5	56	45	2	81	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	10	5	10	1	32	26	11	48	31	35	82	11	72	9	21	2	11	76	98	24	72	76	10	2	24	44	2	31	11	51	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	16	2	91	15	25	67	25	51	65	95	52	45	24	21	35	21	15	93	62	5	5	14	72	43	61	55	71	54	91	34	47	38	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	5	72	34	56	91	21	14	14	21	63	16	2	91	15	25	67	25	51	11	13	25	10	26	31	72	81	29	10	10	45	23	76	93	0	 	 	 	 	 	 	 	 	 	 	 	 	 
41	51	34	21	11	13	25	10	26	2	27	14	42	24	53	81	82	2	26	43	64	34	55	65	56	19	31	87	2	21	76	14	10	55	26	0	 	 	 	 	 	 	 	 	 	 	 	 
2	10	10	41	15	2	34	34	31	65	21	66	16	17	10	62	19	10	21	64	34	55	15	56	5	27	24	91	24	17	43	42	63	17	64	34	0	 	 	 	 	 	 	 	 	 	 	 
24	14	21	81	21	21	55	24	32	25	56	28	45	38	51	10	15	51	12	10	16	81	51	11	48	31	34	25	82	52	39	91	32	71	26	41	55	0	 	 	 	 	 	 	 	 	 	 
13	45	61	51	21	45	26	67	49	45	31	11	57	1	15	56	11	15	21	21	11	35	10	21	42	43	31	56	5	48	13	5	44	55	81	31	24	34	0	 	 	 	 	 	 	 	 	 
10	25	21	31	21	13	25	34	15	32	56	31	21	33	25	64	24	72	76	10	2	24	21	35	25	81	62	10	51	24	61	72	19	27	31	43	34	64	31	0	 	 	 	 	 	 	 	 
71	56	32	6	21	24	2	32	34	10	45	91	54	67	84	76	10	12	24	21	35	25	81	62	10	56	64	21	11	45	34	26	67	67	24	10	21	17	52	91	0	 	 	 	 	 	 	 
48	16	67	12	5	42	25	31	24	62	61	19	75	44	34	56	20	21	14	14	36	10	86	67	41	51	6	45	11	55	25	78	25	12	31	43	45	16	21	6	72	0	 	 	 	 	 	 
10	66	6	17	40	62	19	90	21	15	15	24	5	13	21	53	22	12	81	23	76	33	91	56	32	26	21	51	22	35	31	67	84	10	10	10	72	26	65	56	35	76	0	 	 	 	 	 
21	39	26	72	31	41	31	45	42	76	5	56	45	32	81	44	21	31	11	57	10	31	11	57	41	15	56	51	71	21	21	29	21	75	40	31	32	82	54	18	38	28	72	0	 	 	 	 
11	24	62	61	22	32	34	34	52	56	21	72	96	56	45	27	51	91	34	21	55	25	24	61	31	67	52	91	29	10	56	45	23	76	93	51	34	34	87	56	98	87	46	47	0	 	 	 
5	14	87	71	24	21	43	94	25	64	97	16	13	32	53	22	2	81	23	23	33	91	56	32	56	21	24	16	72	34	81	21	61	21	32	67	46	26	62	45	31	78	34	23	76	0	 	 
